Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	21.21054	1.9319239	23.796316	10.928586	49.5625	0.016492175	0.07552791	0.25597113	-0.2711235	4000	-5.698204e-08	108.837746	-0.007041401	-79.657364	0.67860407	0.010754731	0.0315	79.0	5.14385199546814
1	20.178782	0.9931819	21.854668	18.253618	48.780487	7.702501	0.7575197	7.8369055	2.5125442	8000	-2.2172928e-08	25.515318	-0.009992905	-2.7738113	0.64881426	0.011963062	0.24625	79.0	10.471561193466187
2	18.425425	0.89969367	20.164896	15.284467	48.73171	8.851162	0.4712464	8.964221	5.6236167	12000	3.5762786e-09	19.300941	-0.008012322	-1.4627647	0.66365784	0.0109613715	0.1895	79.0	15.718249082565308
3	16.963142	0.96294165	18.646833	11.9149275	48.925926	8.0297785	0.27707162	8.253453	6.1887674	16000	1.7404556e-08	15.586348	-0.006859562	-7.1210833	0.6158585	0.003725248	0.09325	79.0	20.610010147094727
4	15.803595	0.66027635	17.172867	14.340574	48.802467	7.0251846	1.2897519	8.5076885	5.4842525	20000	-2.0623206e-08	6.523248	-0.0074700024	-4.4261127	0.6234396	0.005723398	0.03475	79.0	25.435530185699463
5	14.636178	0.66508406	15.912308	13.033805	48.91358	6.8353744	2.7791576	9.910174	2.9872444	24000	1.3113022e-08	1.5895752	-0.0066368794	-0.7920691	0.60534084	0.0093687745	0.09925	79.0	30.512431144714355
6	13.575237	0.5339636	14.549522	12.458169	48.876545	6.417631	3.0870314	10.467262	1.9190484	28000	1.4781952e-08	0.8595803	-0.008587396	-0.35222334	0.60496783	0.009479382	0.06175	79.0	35.30298113822937
7	12.583171	0.5210545	13.424896	11.480137	49.197533	5.9687767	3.0541203	10.488923	1.5677309	32000	-2.4080277e-08	0.7731026	-0.008520593	-0.3300918	0.5878182	0.007866742	0.11075	79.0	40.12358117103577
8	11.599643	0.61177444	12.3478565	8.917393	49.6	5.5323887	2.8105078	10.335326	1.522961	36000	-2.193451e-08	0.7016123	-0.011021192	-0.30145726	0.5985764	0.0060847	0.13475	79.0	44.96419906616211
9	10.735361	0.47099188	11.371951	8.474906	49.296295	5.0865226	2.530574	9.881015	1.3455493	40000	9.298325e-09	0.44976327	-0.01149164	-0.18307483	0.58550775	0.016177729	0.12575	79.0	49.78694486618042
10	9.965598	0.38728333	10.539293	9.003384	49.4625	4.7248874	2.4583719	9.227475	1.1721379	44000	-2.0980835e-08	0.45024505	-0.007347105	-0.22804151	0.59289104	0.008316868	0.08475	79.0	54.66417908668518
11	9.272718	0.29507136	9.739937	8.324033	49.6125	4.3704877	2.2551367	8.580511	1.1171014	48000	4.5776368e-08	0.31585848	-0.0050938013	-0.14489442	0.58273077	0.005518036	0.02225	79.0	59.418172121047974
12	8.531715	0.27445206	9.025229	7.72545	49.675	4.0573015	2.0952115	8.0456505	0.99491453	52000	-1.3589859e-08	0.2964178	-0.008228119	-0.15358874	0.5853436	0.015288919	0.178	79.0	64.18953895568848
13	7.914817	0.2036321	8.272132	7.341358	49.7625	3.7236576	1.9394143	7.451052	0.8785046	56000	7.629395e-09	0.2070033	-0.008912103	-0.11712575	0.5814625	0.016295616	0.12575	79.0	68.97677302360535
14	7.2768188	0.20923863	7.6351833	6.6151958	49.75	3.4478443	1.782472	6.925793	0.7284472	60000	1.7404556e-08	0.19352023	-0.005758553	-0.11073005	0.581087	0.011185965	0.033	79.0	73.73820900917053
15	6.7229524	0.19545151	7.0582886	6.11936	49.825	3.1589043	1.6463298	6.3362846	0.66604686	64000	1.013279e-08	0.13607949	-0.008030676	-0.08163184	0.5817616	0.014899652	0.0735	79.0	78.52843999862671
16	6.20004	0.1824558	6.526514	5.688279	49.825	2.9133756	1.5273111	5.9624453	0.535776	68000	5.00679e-09	0.11465061	-0.006538005	-0.06890878	0.5772097	0.0061753127	0.04325	79.0	83.30176305770874
17	5.751863	0.14682776	6.0158844	5.4369683	49.925	2.692176	1.4131092	5.602092	0.4800735	72000	7.7486035e-09	0.088410415	-0.006911733	-0.05630605	0.5641518	0.009202793	0.04325	79.0	88.09734797477722
18	5.3119307	0.12832181	5.5404263	4.9364285	49.9	2.485005	1.3080189	4.6828103	0.41742858	76000	-3.71933e-08	0.07300255	-0.004392893	-0.046902135	0.56563497	0.013112635	0.18475	79.0	92.88945007324219
19	4.893724	0.11501088	5.1174073	4.671809	49.9375	2.2978504	1.2066039	4.33787	0.37856278	80000	-1.859665e-08	0.06502441	-0.003989457	-0.044067137	0.57413524	0.012216843	0.0315	79.0	97.69365692138672
20	4.5186324	0.13132887	4.7236114	4.0182176	49.9375	2.110616	1.118498	4.7712417	0.3275408	84000	3.170967e-08	0.0528014	-0.0045899437	-0.03491561	0.57471627	0.0082841255	0.02375	79.0	102.56181597709656
21	4.169066	0.11356366	4.3583417	3.6847193	49.9	1.9502826	1.030872	4.4860606	0.28465223	88000	-3.8743018e-08	0.043723	-0.008195028	-0.028981559	0.57201195	0.011593413	0.048	79.0	107.41501522064209
22	3.8142562	0.11843671	4.032069	3.4520955	49.975	1.8032254	0.9444014	4.222402	0.25527036	92000	2.3841857e-09	0.05192518	-0.008521746	-0.032430623	0.5695349	0.008522708	0.18275	79.0	112.21269106864929
23	3.5366085	0.1012779	3.6928988	3.2174225	50.151897	1.6550117	0.86269534	3.1029806	0.2848232	96000	-3.7074088e-08	0.035808317	-0.0028567505	-0.021177955	0.54951745	0.0057318485	0.0145	79.0	117.0297782421112
24	3.2638147	0.09741931	3.4219143	2.985154	50.037975	1.5205115	0.8059794	3.6927798	0.25724226	100000	1.8835069e-08	0.029194027	-0.0057347226	-0.017245486	0.51884574	0.0073947655	0.044	79.0	121.82338190078735
25	3.020663	0.07981765	3.156056	2.6957643	49.925	1.4105192	0.74200535	2.6614397	0.2366714	104000	1.0251999e-08	0.022519091	-0.003294758	-0.014745599	0.5293534	0.0042940886	0.013	79.0	126.64021492004395
26	2.7852213	0.074894875	2.908927	2.6309338	50.050632	1.3055927	0.6855354	3.31845	0.18493119	108000	-1.6093255e-08	0.021603962	-0.004915902	-0.014027679	0.54790777	0.0055575874	0.03975	79.0	131.43641304969788
27	2.5737197	0.062049236	2.6891696	2.4374256	50.07595	1.2036608	0.6322754	2.2849634	0.18163124	112000	-4.649162e-08	0.017086761	-0.005932744	-0.011445744	0.53751445	0.009567299	0.1575	79.0	136.2369430065155
28	2.377564	0.059715036	2.4873705	2.1761186	50.02532	1.1063421	0.58953464	2.9643188	0.15556026	116000	5.4359436e-08	0.013975762	-0.0059256363	-0.009045468	0.5388956	0.00917759	0.087	79.0	141.02387404441833
29	2.1937966	0.05577666	2.299808	2.0036345	49.9875	1.0278555	0.541341	2.7949748	0.13863745	120000	-4.386902e-08	0.012091984	-0.004639213	-0.008605063	0.5372783	0.006011085	0.00575	79.0	145.80783605575562
30	2.0227916	0.05171373	2.1196086	1.8762158	50.012657	0.9467489	0.49970722	1.7982683	0.10652331	124000	6.4969065e-08	0.010366539	-0.005591505	-0.007273022	0.52526414	0.014773453	0.0585	79.0	150.6753499507904
31	1.868882	0.04316993	1.9462501	1.7971139	50.012657	0.87060463	0.46409786	1.6617382	0.09538638	128000	4.2676927e-08	0.008128793	-0.0049831313	-0.0058206464	0.53072655	0.005147237	0.03375	79.0	155.47828912734985
32	1.7225722	0.040097542	1.8000784	1.6073945	50.037975	0.80492884	0.42728025	1.535122	0.07397236	132000	3.388524e-08	0.0077776676	-0.00580393	-0.0052859746	0.52779496	0.006534092	0.06675	79.0	160.29359817504883
33	1.5879259	0.039298285	1.6641781	1.4712212	49.9	0.74119794	0.39758188	1.4166174	0.06577252	136000	3.218651e-08	0.0062814592	-0.008154625	-0.0043307496	0.5304781	0.01061852	0.0935	79.0	165.14284992218018
34	1.4711901	0.03476356	1.5353657	1.4161813	49.9625	0.6830847	0.37010428	1.3087987	0.061231814	140000	1.3351441e-08	0.005089993	-0.005420266	-0.0036138513	0.5122747	0.0035714707	0.083	79.0	169.9577751159668
35	1.3545943	0.033920553	1.4146178	1.2523701	49.95	0.63426805	0.34008658	1.9807558	0.047979794	144000	-4.148483e-08	0.0050450303	-0.007031474	-0.003432652	0.4743685	0.0069771097	0.0405	79.0	174.7703709602356
36	1.2529438	0.02975394	1.3025615	1.1932381	49.9875	0.5838965	0.3141668	1.1148422	0.039568488	148000	9.536744e-10	0.0037707924	-0.007605481	-0.0026926086	0.4510081	0.011792474	0.1245	79.0	179.55104517936707
37	1.1581606	0.027121766	1.2042336	1.1144422	50.0	0.53892154	0.2917082	1.0321448	0.0340954	152000	-5.722046e-09	0.0032153795	-0.0041070837	-0.0023128856	0.41551012	0.0070466828	0.0905	79.0	184.29872393608093
38	1.0660238	0.027686484	1.1100655	0.9789041	49.9	0.50053686	0.26754788	0.95611745	0.018758144	156000	5.51939e-08	0.0029835107	-0.004425181	-0.0021304018	0.44477797	0.0059249685	0.01675	79.0	189.08020496368408
39	0.98594606	0.023180284	1.0275683	0.94486254	49.9875	0.46024588	0.24763547	0.88329893	0.010893568	160000	6.532669e-08	0.0024348698	-0.003672586	-0.0017128915	0.43265218	0.005961123	0.035	79.0	193.8261730670929
40	0.90830535	0.021371195	0.94793195	0.8539139	49.925	0.4249477	0.23001125	0.8166448	0.0019243583	164000	4.6491624e-09	0.0022276966	-0.003828265	-0.0015274524	0.44229162	0.0062429896	0.05925	79.0	198.638347864151
41	0.8373095	0.021489166	0.87487924	0.75117576	49.9625	0.39359438	0.21034193	1.4598498	-0.0035371147	168000	3.2901763e-08	0.002123882	-0.006081304	-0.0013826658	0.45187557	0.0038324497	0.0345	79.0	203.38967895507812
42	0.77165467	0.018949123	0.8071667	0.7195871	49.9375	0.36223304	0.193512	0.6926785	-0.0139625855	172000	1.3828277e-08	0.0016491654	-0.004621003	-0.0011223025	0.4397369	0.004070861	0.0135	79.0	208.1508331298828
43	0.71100426	0.017316777	0.7413526	0.68137723	49.9625	0.33405858	0.177698	0.6387387	-0.024297569	176000	-5.8650972e-08	0.0014088848	-0.0071717678	-0.00096543867	0.44582766	0.009788904	0.084	79.0	213.06286001205444
44	0.65542185	0.016624555	0.68401974	0.600848	49.9375	0.30667168	0.1653797	0.58764946	-0.037401598	180000	6.437302e-09	0.0012111661	-0.0051753214	-0.0007845531	0.423396	0.007024674	0.0495	79.0	217.75728702545166
45	0.6059743	0.014602528	0.6315201	0.57167244	49.9625	0.2822286	0.15297721	0.54030144	-0.050914053	184000	2.9087067e-08	0.0009835563	-0.0043375446	-0.0006233161	0.413912	0.00950038	0.05125	79.0	222.46930408477783
